## RECSRecommendations Upload File,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,
## RECS,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.l2category,entity.displayPrice,entity.itemType
woswsubas,Bahamas Shorts,Women,"Lightweight plaid cotton adds a boost of trendsetting style to our favorite shorts. Chic and sporty for the beach and beyond, you won't find another pair of shorts with as much playful attitude",http://localhost:4503/content/dam/we-retail/en/products/apparel/shorts/Bahamas.jpg,38,http://localhost:4503/content/we-retail/us/en/products/women/shorts/bahamas-shorts.html,100,30.4,Shorts,$38.00,Shorts
90019930,Gloves,Women,The perfect fit keeps your hands warm but flexible. Tactile grip ensures no loss of control with sweat wicking interior.,http://localhost:4503/content/dam/we-retail/en/products/apparel/gloves/90019930.jpg,24.99,http://localhost:4503/content/we-retail/us/en/products/women/gloves/gloves.html,100,19.99,Gloves,$24.99,Gloves
meotwipot,Portland Hooded Jacket,Men,The Portland Hooded Jacket takes you from the office to the airport in style.,http://localhost:4503/content/dam/we-retail/en/products/apparel/coats/Portland.jpg,75,http://localhost:4503/content/we-retail/us/en/products/men/coats/portland-hooded-jacket.html,100,60,Coats,$75.00,Coat
meotwibrt,Brooklyn Coat,Men,Protection from the elements doesn't mean you have to look like a mountaineer. The waterproof Brooklyn Coat keeps you looking sharp while shedding rain.,http://localhost:4503/content/dam/we-retail/en/products/apparel/coats/Brooklyn.jpg,89,http://localhost:4503/content/we-retail/us/en/products/men/coats/brooklyn-coat.html,100,71.2,Coats,$89.00,Coat
meskwielt,El Gordo Down Jacket Green,Men,"With bigger channels and more fill, this extra toasty jacket is ideal as a midlayer or stand-alone in cold climes.",http://localhost:4503/content/dam/we-retail/en/products/apparel/coats/El%20Gordo%20Green.jpg,119,http://localhost:4503/content/we-retail/us/en/products/men/coats/el-gordo-down-jacket.html,100,95.2,Coats,$119.00,Coat
meotwidot,Double Breasted Raincoat,Men,"Our best selling Double Breasted Raincoat is now more waterproof, more breathable and more comfortable to wear!",http://localhost:4503/content/dam/we-retail/en/products/apparel/coats/Double.jpg,105,http://localhost:4503/content/we-retail/us/en/products/men/coats/double-breasted-raincoat.html,100,84,Coats,$105.00,Coat
meotwislt,Slopeside Coat,Men,"4-in-1 jacket creates options for changing conditions. Jacket sports a waterproof, breathable shell and an insulated, reversible liner jacket.",http://localhost:4503/content/dam/we-retail/en/products/apparel/coats/Slopeside.jpg,139,http://localhost:4503/content/we-retail/us/en/products/men/coats/slopeside-coat.html,100,111.2,Coats,$139.00,Coat
meotsuett,Eton Short-Sleeve Shirt,Men,Express yourself around town or at play with our rugby-inspired Eton shirt.,http://localhost:4503/content/dam/we-retail/en/products/apparel/shirts/Eton.jpg,24,http://localhost:4503/content/we-retail/us/en/products/men/shirts/eton-short-sleeve-shirt.html,100,19.2,Shirts,$24.00,Shirt
meotsuamt,Amsterdam Short-Sleeve Travel Shirt,Men,"The Amsterdam travel shirt features a soft, breathable fabric blend that keeps you comfortable on city adventures.",http://localhost:4503/content/dam/we-retail/en/products/apparel/shirts/Amsterdam.jpg,39,http://localhost:4503/content/we-retail/us/en/products/men/shirts/amsterdam-short-sleeve-travel-shirt.html,100,31.2,Shirts,$39.00,Shirt
mehisulat,Laguna Short-Sleeve Shirt,Men,Don't sacrifice function for style. The Laguna is perfect for adventures at home or in the great outdoors.,http://localhost:4503/content/dam/we-retail/en/products/apparel/shirts/Laguna.jpg,42,http://localhost:4503/content/we-retail/us/en/products/men/shirts/laguna-short-sleeve-shirt.html,100,33.6,Shirts,$42.00,Shirt
mehiwiext,Expedition Tech Long-Sleeved Shirt,Men,"High tech fabric means you can stay comfortable wherever you go, from the desert to the tropics to alpine terrain.",http://localhost:4503/content/dam/we-retail/en/products/apparel/shirts/Expedition.jpg,54,http://localhost:4503/content/we-retail/us/en/products/men/shirts/expedition-tech-long-sleeved-shirt.html,100,43.2,Shirts,$54.00,Shirt
meotsuann,Analog Dark Wash Jean,Men,"From the city streets to the climbing crag, the Analog Dark Wash Jean gives you old-school style.",http://localhost:4503/content/dam/we-retail/en/products/apparel/pants/Analog.jpg,98,http://localhost:4503/content/we-retail/us/en/products/men/pants/analog-dark-wash-jean.html,100,78.4,Pants,$98.00,Pants
mehisutrs,Trail Model Pants,Men,"The Trail Model Pants to the test on your next climbing trip, trail hike or globe-trotting adventure.",http://localhost:4503/content/dam/we-retail/en/products/apparel/pants/Trail.jpg,69,http://localhost:4503/content/we-retail/us/en/products/men/pants/trail-model-pants.html,100,55.2,Pants,$69.00,Pants
meotsutrs,Tribeca Cargo Pants,Men,Look good at the office or on a stroll through town with the classy Tribeca Cargo Pants.,http://localhost:4503/content/dam/we-retail/en/products/apparel/pants/Tribeca.jpg,65,http://localhost:4503/content/we-retail/us/en/products/men/pants/tribeca-cargo-pants.html,100,52,Pants,$65.00,Pants
mehisucos,Corona Shorts,Men,Corona shorts offer quick-drying convenience and travel-savvy details that are a perfect match for active lifestyles,http://localhost:4503/content/dam/we-retail/en/products/apparel/shorts/Corona.jpg,39,http://localhost:4503/content/we-retail/us/en/products/men/shorts/corona-shorts.html,100,31.2,Shorts,$39.00,Shorts
mehisubus,Buffalo Plaid Shorts,Men,The Buffalo Shorts are stylish yet versatile warm-weather gear that will save you space in your luggage.,http://localhost:4503/content/dam/we-retail/en/products/apparel/shorts/Buffalo.jpg,32,http://localhost:4503/content/we-retail/us/en/products/men/shorts/buffalo-plaid-shorts.html,100,25.6,Shorts,$32.00,Shorts
mehisusts,Stretch Fatigue Shorts,Men,"Be comfortable no matter where you are climbing a rock wall, riding a bus in the Andes or just chilling with your friends at a backyard barbecue.",http://localhost:4503/content/dam/we-retail/en/products/apparel/shorts/Fatigue.jpg,44,http://localhost:4503/content/we-retail/us/en/products/men/shorts/stretch-fatigue-shorts.html,100,35.2,Shorts,$44.00,Shorts
mehisusls,Slot Canyon Active Shorts,Men,"With multiple pockets for stowing must-have items, the lightweight Slot Canyon Active Shorts bring comfort and convenience to your hiking and traveling adventures.",http://localhost:4503/content/dam/we-retail/en/products/apparel/shorts/Canyon.jpg,39,http://localhost:4503/content/we-retail/us/en/products/men/shorts/slot-canyon-active-shorts.html,100,31.2,Shorts,$39.00,Shorts
mesusupis,Pipeline Board Shorts,Men,Pick up the tried-and-true Pipeline Board Shorts to equip yourself for soaking up the sun and surfing some waves.,http://localhost:4503/content/dam/we-retail/en/products/apparel/shorts/Pipeline%20Orange.jpg,24,http://localhost:4503/content/we-retail/us/en/products/men/shorts/pipeline-board-shorts.html,100,19.2,Shorts,$24.00,Shorts
meotwizuf,Zurich Wool Scarf,Men,"Warp yourself in warmth this winter with the Zurich Scarf, woven in natural wool",http://localhost:4503/content/dam/we-retail/en/products/apparel/scarfs/source/Zurich.jpg,45,http://localhost:4503/content/we-retail/us/en/products/men/scarfs/zurich-wool-scarf.html,100,36,Scarfs,$45.00,Scarf
meskwimis,Midweight Fleece Gloves,Men,"Form-fitting, breathable fleece gloves are designed to keep hands warm while allowing maximum digital dexterity.",http://localhost:4503/content/dam/we-retail/en/products/apparel/gloves/Midweight%20Fleece.jpg,30,http://localhost:4503/content/we-retail/us/en/products/men/gloves/midweight-fleece-gloves.html,100,24,Gloves,$30.00,Gloves
meotwicls,Classic Leather Gloves,Men,Leather gloves offer a low-bulk fit for excellent dexterity and a classic look that can be dressed up or down.,http://localhost:4503/content/dam/we-retail/en/products/apparel/gloves/Classic%20Leather.jpg,38,http://localhost:4503/content/we-retail/us/en/products/men/gloves/classic-leather-gloves.html,100,30.4,Gloves,$38.00,Gloves
meotwisus,Sussex Rain Boots,Men,"Classic in style, the Sussex Rain Boots provide excellent waterproof protection and great traction.",http://localhost:4503/content/dam/we-retail/en/products/apparel/footwear/source/Sussex.jpg,65,http://localhost:4503/content/we-retail/us/en/products/men/footwear/sussex-rain-boots.html,100,52,Footwear,$65.00,Footwear
eqsusubed,Bear 8'8'' Longboard,Equipment,Whether you are looking for nose-riding time with smooth turns or making big cuts in smaller waves this board delivers. The board has great versatility for a longboard. Because the board is 8'8'' it is small enough to handle slightly bigger waves but still,http://localhost:4503/content/dam/we-retail/en/products/activities/surfing/source/Bear.jpg,1100,http://localhost:4503/content/we-retail/us/en/products/equipment/surfing/bear-8_8_-longboard.html,100,880,Surfing,"$1,100.00",Equipment
eqsusuthd,The Stretch Longboard,Equipment,"The Stretch is agreat everyday longboard for beginners to intermediate surfers. It's extremely forgiving and balanced, which is great for beginners or more advanced surfers who just want an easy day of surfing.",http://localhost:4503/content/dam/we-retail/en/products/activities/surfing/source/stretch_side.png,900,http://localhost:4503/content/we-retail/us/en/products/equipment/surfing/the-stretch-longboard.html,100,720,Surfing,$900.00,Equipment
eqsusurud,Rusty Parrot Shortboard,Equipment,"Currently our most popular high performance all around shortboard, the Rusty Parrot offers the same characteristics as what a pro would ride (fast, loose performance) but is made with slightly fuller dimensions to appeal to everyone.",http://localhost:4503/content/dam/we-retail/en/products/activities/surfing/source/Rusty%20Parrot.jpg,895,http://localhost:4503/content/we-retail/us/en/products/equipment/surfing/rusty-parrot-shortboad.html,100,716,Surfing,$895.00,Equipment
eqsusuely,El Greco 8' Shorty,Equipment,"The El Greco has blended the nose riding capabilities of a longboard together with the maneuverability and speed of a shortboard. It's not a long short board, it's a short longboard.",http://localhost:4503/content/dam/we-retail/en/products/activities/surfing/source/El%20Greco.jpg,750,http://localhost:4503/content/we-retail/us/en/products/equipment/surfing/el-greco-8_-shorty.html,100,600,Surfing,$750.00,Equipment
eqsusuevd,Even Keel Paddleboard,Equipment,"Besides providing a new way to get on the water, paddleboarding develops core muscles and balance it's the perfect training activity for surfers, skiers and paddlers",http://localhost:4503/content/dam/we-retail/en/products/activities/surfing/Even%20Keel.jpg,800,http://localhost:4503/content/we-retail/us/en/products/equipment/surfing/even-keel-paddleboard.html,100,640,Surfing,$800.00,Equipment
eqsusuchd,Chasing Tail Surfboard,Equipment,"Full rails and extra flotation make this board ideal for mushed out summer waves.For the beginner to advanced surfer, this board works great in knee high to head high surf.",http://localhost:4503/content/dam/we-retail/en/products/activities/surfing/Chasing%20Tail.jpg,785,http://localhost:4503/content/we-retail/us/en/products/equipment/surfing/chasing-tail-surfboard.html,100,628,Surfing,$785.00,Equipment
eqsusutho,The Neutrino,Equipment,"With its pronounced rocker, the Neutrino is a natural choice for steep faces and on-rail surfing. Single concave gives the board plenty of drive for critical situations.",http://localhost:4503/content/dam/we-retail/en/products/activities/surfing/source/Neutrino.jpg,695,http://localhost:4503/content/we-retail/us/en/products/equipment/surfing/the-neutrino.html,100,556,Surfing,$695.00,Equipment
84391210,Spixa Runners,Equipment,Featuring our latest mesh technology for ultimate flexibility.  Memory foam cushion hugs your feet in support during those long cross country runs. ,http://localhost:4503/content/dam/we-retail/en/products/apparel/footwear/84391210.jpg,119.99,http://localhost:4503/content/we-retail/us/en/products/equipment/running/spixa-runners.html#84391210,100,95.99,Running,$119.99,Footwear
eqrusubpe,BPA-Free Water Bottle,Equipment,"BPA-free, our water bottle water bottle gives you quick access to hydration while at the gym or on the trail.",http://localhost:4503/content/dam/we-retail/en/products/activities/running/gomobile-source/Water%20Bottle.jpg,18,http://localhost:4503/content/we-retail/us/en/products/equipment/running/bpa-free-water-bottle.html,100,14.4,Running,$18.00,Equipment
eqrusufle,Fleet Cross-Training Shoe,Equipment,The Fleet Cross-Training shoes provide an ideal platform for high-mileage runners looking for 1 pair of shoes to take them from the street to the trail and back again.,http://localhost:4503/content/dam/we-retail/en/products/apparel/footwear/source/Fleet%20Shoe.jpg,65,http://localhost:4503/content/we-retail/us/en/products/equipment/running/fleet-cross-training-shoe.html#eqrusufle-9,100,52,Running,$65.00,Footwear
30941863,Basa MP3 Player,Equipment,"Carries up to 20,000 of your favorite tunes! Also features built in timer and workout monitor to track your energy and calories.",http://localhost:4503/content/dam/we-retail/en/products/activities/running/30941863.jpg,149.99,http://localhost:4503/content/we-retail/us/en/products/equipment/running/basa-mp3-player.html#30941863-one,100,119.99,Running,$149.99,Equipment
eqrusugor,GoMobile Fitness Monitor/Smart Music Player,Equipment,The GoMobile fitness monitor and smart music player tracks your performance and pumps out tunes to keep you going.,http://localhost:4503/content/dam/we-retail/en/products/activities/running/gomobile-source/GoMobile.jpg,150,http://localhost:4503/content/we-retail/us/en/products/equipment/running/gomobile-fitness-monitorsmart-music-player.html#eqrusugor,100,120,Running,$150.00,Equipment
eqswsupus,Pufferfish Snorkeling Fins,Equipment,Pufferfish Snorkeling Fins make it easy to explore tropical reefs and freshwater aquatic life with minimal effort and maximum comfort.,http://localhost:4503/content/dam/we-retail/en/products/activities/water-sports/Pufferfish%20Blue.jpg,25,http://localhost:4503/content/we-retail/us/en/products/equipment/water-sports/pufferfish-snorkeling-fins.html#eqswsupus.1-S,100,20,Water Sports,$25.00,Equipment
eqswsuaqr,Aqua Force GPS Fitness Monitor,Equipment,"Waterproof GPS fitness monitor accurately records and displays your time, distance, and heart rate while you swim (or run) to help you attain your fitness goals.",http://localhost:4503/content/dam/we-retail/en/products/activities/water-sports/Aqua%20Force.jpg,200,http://localhost:4503/content/we-retail/us/en/products/equipment/water-sports/aqua-force-gps-fitness-monitor.html,100,160,Water Sports,$200.00,Equipment
eqswsucal,Cabana Stripe Towel,Equipment,"Soft cotton, cheerful stripes and an extra long length set our Cabana Stripe Towel apart.",http://localhost:4503/content/dam/we-retail/en/products/activities/water-sports/source/Cabana.jpg,18,http://localhost:4503/content/we-retail/us/en/products/equipment/water-sports/cabana-stripe-towel.html,100,14.4,Water Sports,$18.00,Equipment
eqswsuprs,Pro Series Swim Goggles,Equipment,Bring your training goals into focus with startling clarity in the Pro Series Swim Goggles.,http://localhost:4503/content/dam/we-retail/en/products/activities/water-sports/Swim%20Goggles%20Blue.jpg,25,http://localhost:4503/content/we-retail/us/en/products/equipment/water-sports/pro-series-swim-goggles.html,100,20,Water Sports,$25.00,Equipment
eqswsuses,Seastar Flip Flops ,Equipment,"Water resistant and durable, Seastar is known for its great non-slip tread.",http://localhost:4503/content/dam/we-retail/en/products/apparel/footwear/Seastar%20Blue.jpg,28,http://localhost:4503/content/we-retail/us/en/products/equipment/water-sports/seastar-flip-flops.html#eqswsuses.1-8,100,22.4,Water Sports,$28.00,Footwear
eqswsumak,Manta Ray Snorkel and Dive Mask,Equipment,The Manta Ray Dive Mask and Snorkel combo brings you into crystal-clear contact with the world below the water's surface.,http://localhost:4503/content/dam/we-retail/en/products/activities/water-sports/Manta%20Ray.jpg,50,http://localhost:4503/content/we-retail/us/en/products/equipment/water-sports/manta-ray-snorkel-and-dive-mask.html,100,40,Water Sports,$50.00,Equipment
170227049,Hiking Poles,Equipment,Increase your hiking time with the ease and comfort of hiking poles.  Rust proof and added traction make this a versatile essential for any hiker.,http://localhost:4503/content/dam/we-retail/en/products/activities/hiking/170227049.jpg,79.99,http://localhost:4503/content/we-retail/us/en/products/equipment/hiking/hiking-poles.html#170227049-Regular,100,63.99,Hiking,$79.99,Equipment
eqsmcz,Cuzco,Equipment,Scale Machu Picchu in style with this sweet pack.,http://localhost:4503/content/dam/we-retail/en/products/activities/hiking/backpack/Frame%201.jpg,210,http://localhost:4503/content/we-retail/us/en/products/equipment/hiking/cuzco.html#eqsmcz.1,100,168,Hiking,$210.00,Backpack
eqbisuset,Sequoia Bike Helmet,Equipment,As close as you can get to air-conditioned head protection on the single track--and top-of-the-line performance features too!,http://localhost:4503/content/dam/we-retail/en/products/activities/biking/source/Sequoia.jpg,75,http://localhost:4503/content/we-retail/us/en/products/equipment/biking/sequoia-bike-helmet.html#eqbisuset-S,100,60,Biking,$75.00,Helmet
eqbisucos,Comfort Gel Gloves,Equipment,"Comfort Gel bike gloves offer cooling comfort, UV protection and bump-damping support. Just what you need for a long day on the road.",http://localhost:4503/content/dam/we-retail/en/products/apparel/gloves/Comfort%20Gel.jpg,30,http://localhost:4503/content/we-retail/us/en/products/equipment/biking/comfort-gel-gloves.html#eqbisucos-S,100,24,Biking,$30.00,Gloves
eqbisucol,Compact Chain Tool,Equipment,"This lightweight, compact chain tool is built to travel! Fits into any pocket or bike bag, yet performs like a shop-quality instrument.",http://localhost:4503/content/dam/we-retail/en/products/activities/biking/source/Chain%20Tool.jpg,15,http://localhost:4503/content/we-retail/us/en/products/equipment/biking/compact-chain-tool.html#eqbisucol,100,12,Biking,$15.00,Equipment
eqbisublp,Blast Mini Pump,Equipment,The Blast mini pump features an efficient single-stroke pumping action that inflates tires up to 90 psi.,http://localhost:4503/content/dam/we-retail/en/products/activities/biking/Blast.jpg,15,http://localhost:4503/content/we-retail/us/en/products/equipment/biking/blast-mini-pump.html#eqbisublp,100,12,Biking,$15.00,Equipment
eqbisumas,Marin Mountain Bike Shoes,Equipment,"Marin mountain bike shoes offer a supportive fit with a supple upper and a stiff, lugged sole to enhance pedal efficiency when grinding uphill and through the dirt.",http://localhost:4503/content/dam/we-retail/en/products/apparel/footwear/Marin.jpg,110,http://localhost:4503/content/we-retail/us/en/products/equipment/biking/marin-mountain-bike-shoes.html#eqbisumas-7,100,88,Biking,$110.00,Footwear
eqbisumxs,MX121 Sport Pedals,Equipment,MX121 Sport Pedals work with cleats and without you decide whether to clip in or to flip pedals and crank on the wide platform.,http://localhost:4503/content/dam/we-retail/en/products/activities/biking/source/MX121.jpg,65,http://localhost:4503/content/we-retail/us/en/products/equipment/biking/mx121-sport-pedals.html,100,52,Biking,$65.00,Equipment
eqwrsnbd,Flying Snowboard,Equipment,"Often imitated, never outdone, and backed by a 20-year legacy as snowboarding’s one-board answer to all terrain.",http://localhost:4503/content/dam/we-retail/en/products/activities/winter-sports/Snowboard.jpg,599,http://localhost:4503/content/we-retail/us/en/products/equipment/snow-sports/flying-snowboard.html,100,479.2,Snow Sports,$599.00,Equipment
,,,,,,,,,,,
